@relation 'ARFF for weer_zonderburen.txt_ARFF for weer_zonderburen.txt_ARFF for weer_zonderburen.txt'

@attribute tweet string
@attribute @@weather@@ {y,n}
@attribute @@sentiment@@ {g,n,b}

@data
'Joepie! Een nieuwe weerterm: #korrelhagel. Is hagel wel eens iets anders dan korrels? #radio1 #weeronline',n,g
'@tom_beek welke regio? #weerbericht',n,g
'@tom_beek goed onthouden, maar hier vriest het #weerbericht',n,n
'Mag de kraan dicht? Ik wordt nat! #weer',y,g
'Laat net een #springvorm op m\'n tenen vallen.Ik weet meteen hoe die aan zijn naam komt #springen #grrr #weermetbeidebeentjesopdegrond',n,g
'In de bus alleen we hebben weer #houtenstoelen die kraken #weerwatnieuws #sneldienst129',n,b
'@MelikeGx  ik wil je, blijf bij me, hou van me, ik wil je nooit meer kwijt #carnavalstemming #weerhelemaalblij',n,g
'@JustineBiesot tuurlijk maar ben wel iets later moet nog wat afmaken en Moet die auto nog ergens kwijt straks.. #weeralcoholvrij',n,b
'#weer osoo',y,g
'Ben bang voor een VoiP-oorlog. #weerwatanders',n,b
'Morgen vroeg op #weernietuitslapen',n,g
#weerslapen,n,g
'Fifasessie kan beginnen! #weerthuis',n,g
'Heldere hemel, met een enkel blauw-grijs wolkje. Weinig wind, balkontemperatuur 6 graden. We wachten op de zon... #weerbericht #soestdijk',y,n
'Rise and Shine! #goedemorgen #weerwakker #mooioptijd',n,g
'Felicitaties aan NP #Weerribben-Wieden met introductie EN cheque voor streekrekening \'SAMEN\'. #goudvanwaterreijk #pijlervrijetijdseconomie',n,b
'Hier moeten de vlaaien straks in Workshop vlaaien bakken winnaars bakwedstrijd #molen #weert http://t.co/vdoaeLZz',n,n
'Geweldige timing: de hele ochtend zon, en net als ik de deur uit wil gaan, gaat het hard regenen #weertweet',n,g
'lang geleden dat ik oogpotlood op had. #weereenseenkeertje',n,g
'Nu is het gedaan met het mooie weer. Donkere wolken en regen... #weerbericht #soestdijk',n,n
'Wat het #weer snel kan betrekken..',y,b
'En nu worstenbroodjes #molen #weert http://t.co/XNlwKGCZ',n,n
'Wat een weer... #weer',y,b
'Wat een drukte weer bij de #Makro. Jammer genoeg half volle schappen. #weermisgegrepen. Uitdaging!',n,b
'Het resultaat #molen #weert http://t.co/8wlOOP4U',n,n
'Van de hand van de voorzitter. Meer geluk dan wijsheid maar wel trost. #molen #weert http://t.co/0Gjs2QnG',n,g
'paardentrailer in elkaar aan het zetten, nieuwe wanden,vloer,remmen #weeralsnieuw & #veilig',n,g
'ok het is afgelopen #weervervelen',n,n
'.....en trouwens, ook in december komt de kip, de sateetjes, de garnalen etc van de houtskoolgrill hoor! @MooiZeist #weerofgeenweer :-)',n,n
'@Douwe_m idd, maar heb  ffe nieuw acc aangemaakt #weereenmaand!:)',n,g
'#weer #weather #winterwonderwoudrichem #twexxitt #rain #woudrichem #ikvertrek #arsenaal #ammerzoden #TweetBot http://t.co/akRwsXeP',y,g
'Vanavond met @Tanjaa1990 naar Happy Feet II in de bios geweest. Dat hielp wèl! #weerevenkindzijn #feelgood #biosbeterdanvialaptop #3D',n,g
'@Laaro78 oh, noemen zr dat knuffelen tegenwoordig #weerwatgeleerd',n,g
'Heldere hemel met wat mooi-weer-wolkjes. Bijna windstil, balkontemperatuur 4 graden... #weerbericht #soestdijk',y,n
'@MeisjeMeisje Helaas t waren gewone nikes......#weereendroomarmer!!',n,g
'Noodweer opkomst? #weer http://t.co/h7dkKIFG',y,g
'Fikse hagelbui op Soestdijk ! #weerbericht #soestdijk #hagel',n,n
'Weekendactie 300 minuten/sms 6,99 per maand opzegbaar http://t.co/IgWV1KIN #simonly #simyonl #weer #telegraaf #rtlnieuws',y,g
'Weekendactie 600 minuten/sms 15,99 per maand opzegbaar http://t.co/IgWV1KIN #simonly #simyonl #weer #telegraaf #rtlnieuws',y,g
'Retour Arnhem...#weerindetrein... http://t.co/0DPJWPTd',n,g
'Met Joop naar Den Bosch op de #brommer. Missie #fototas geslaagd. Mazzel gehad met het #weer.',y,g
'Ben het totaal niet eens met @PeterRdeV en zijn uitspraken en visie over #Ajax Liever zie ik hem pedofielen opsporen in cambodja #weergaloos',n,b
'Blij dat ik glij! #weerveiligthuis',n,g
'Bah weekend veel tesnel voorbij#weeraandeslag :(',n,g
'Bijna wolkenloze hemel, ijs op de vijver. Bijna windstil, balkontemperatuur 2 graden... #weerbericht #soestdijk',y,n
'De week al begint goed! Vandaag is vriendinnetje @eefjeboer jarig #feest, en morgen de kerstborrel op de zaak! #weerfeest',n,n
'Wat is het een #koud #nat #weer hier buiten in #denhaag zeg! maar geen #sneeuw.',y,b
'KERST in Rucphen: echtpaar bouwt gehele huis om en wacht op komst Pietje Paulusma #WEERsmurf http://t.co/MO05bliX',n,g
'nieuwe twitternaam #weermeoude',n,g
'#weer een keer damme;) #wat een lol @PekeWouda',y,g
'@BrittBonnema verdorie, #weer #gemist',y,g
'\"@bartmoors1: Ik ben nog maar 3 keer te laat dit haar #weer trots op mezelf\" ghehe ik steeds net nie :p',y,g
'Lekker #Chilly in de taco ... #reclame #weerwatnieuws #moetdatnou',n,g
'@OzcanAkyol @Teunvandekeuken Ts. Echt niet. #twente #Delden #ooootmarsum #saasveld #weerselo #hertme',n,g
'Leuk, denk je de file te vermijden door met de trein te gaan, heeft de trein minimaal 30 min. vertraging.. #danmaarindefile #weernaarhuis',n,g
'Donkere wolken en regen, maar minder koud dan gisteren. Briesje uit W., balkontemperatuur 8 graden... #weerbericht #soestdijk',y,n
'Petweer dus, ik had gisteren misschien niet moeten zeggen dat het de laatste \'s ochtends zo mooi was... #weerbericht http://t.co/DTDI9Zzn',n,g
'Als er toch iets uit de lucht moet vallen, waarom dan geen sneeuw... #weer',y,b
'Weer \'even\' pakketten inpakken en dan wegbrengen #weerdoorderegen',n,n
'@GertHutten Stoelen passen voor zorgcentra  Betuweland bij W2wonen  #weereenswatanders http://t.co/8xEXuj5X',n,b
'Op de een of andere manier lukt t me elke morgen weer net de bus niet te halen.. Op t  lijstje met goede voornemens dan maar? #weermetdeuto',n,b
'Bewolkt maar droog. Zwak briesje uit ZW, balkontemperatuur 7 graden... #weerbericht #soestdijk',y,n
'Pijn in me schouder #weeral',n,g
#weerweg,n,g
'#Romyvermaakgrappen :\"LOOOSEEEEEERR!\" :\"Hoi.\" :\"Hai.\" #weereenslechtgrap',n,g
'Hoor veel mensen die ziek zijn, hopelijk gaat het mijn deur deze keer voorbij #Weerstand ...',n,g
'Zwaarr geirriteerd #weer',y,g
'Grauw en regenachtig. Maar niet erg koud, balkontemperatuur 11 graden, briesje uit W... #weerbericht #soestdijk',y,n
'#Connexion fail #weertelaat',n,g
'Nu weet ik waarvoor die transformatorhuisjes dienen #weerwatgeleerd',n,g
'@SjoerdPotma ik heb voor vanmiddag stralend weer besteld, maar ze zijn wel eens laat met de levering #weergoden #paulusmabellen',n,b
'Terug in Nederland.. #WeerGratisInternet',n,g
'@Trendkidz Fijne dag Annet, is het in Leek ook zo grijs?? #weer',y,g
'Je krijgt dan in de gaten dat als kleine eenheden binnen een bedrijf je iets opleggen vwb twitter, dit contraproductief werkt. #weerstand',n,g
'@kusjeandreax whahaha #weerlatereactie',n,g
'Da\' liedje komt precies op tijd -___- #weerhuilen',n,g
'Grijs en bewolkt, maar droog en niet koud. Briesje uit ZW, balkontemperatuur 11 graden... #weerbericht #soestdijk',y,n
'Zow, #kerstbrunch #weerklankso http://t.co/DnytlMv0',n,g
'Op de koffie geweest bij mijn ouders. De regenbroek kwam van pas. Miezerregen op de terugweg..;o( #weerbericht #soestdijk',n,n
'Beter neem je geen vriendinnetje hoor: je houdt geen ribben meer over ;) #weer eenribuitmijnlijf',y,g
'Kutzoooi oplader ligt boven #vennetbenede #weernaarboven',n,g
'Me tl laad niet #weerniet',n,g
'Zonsopkomst met mooi belichte wolken en regenvlagen. Briesje uit NW, balkontemperatuur 6 graden... #weerbericht #soestdijk',y,n
'@edaldus Hallo Ed, Ik wil toch ook een poging wagen? Ik hou het op een 9.3 voor 2e kerstdag? #weerquiz',n,b
'Ik ben er klaar voor. Vanavond geen Luifel shirt, maar op siss. #weereenswatanders bij de #Luifeltop50',n,b
'RT @xdiantax Ga ik naar het dorp als doel eyeliner kopen, ik kom met van alles thuis behalve eyeliner -_- #weer€50weg * had ik ook 56 euroXD',n,b
'En we zijn #weer #thuis (@ DaanvanLith.nl) [pic]: http://t.co/Mj7h6xOk',y,g
'@bjornvdijk Wij zijn inmiddels meesters in het inslijpen van patronen en aanleren van ritmegevoel.. Geef toe: best pittig hoor!! #weerstand0',n,g
'Grijs en bewolkt. Maar droog, weinig wind en niet te koud. Balkontemperatuur 9 graden... #weerbericht #soestdijk',y,g
'Leuk jo kerst #weerdikkegezijk',n,g
'Beste kerstman.. ik ben goed geweest dit jaar. Ok meestal. Nouja vaak dan. Ach fuck it ik betaal mn eigen shit wel. #weergeenkado',n,g
'@Audiobakery ja gaat top! #rennen #springen #vliegen #vallen en #weer opstaan!',y,g
'Kerstdiner bestaande uit schnitzel, aardappel en spinazie. #weereenswatanders',n,g
'Film was wel leuk #weerindeauto',n,g
'#pyjamaaan #naarbeneden #weerchillopbankje',n,g
'“@Sinned81: Zo ff vuurtje maken, en broodje bakken! #weerwatandersalsgourmetten�? Heb jij gedaan dan, buiten gegeten?',n,g
'Grijze ochtend, bewolkt, maar droog. Briesje uit ZW, balkontemperatuur 11 graden... #weerbericht #soestdijk',y,n
'laat ik eens beginnen met goedemiddag #2ekerstdag #weerprutweer',n,g
'Onverwachts gaan we toch niks doen vandaag #jammer #weerverveling?',n,g
'Watt ik zei, ik had gelijk, noujaa...  #Weertweetoff',n,g
'Zo alles staat weer klaar bij @Schnitzelantoon voor de ontvangst van alle gasten voor de tweede kerstdag. #weervollebak',n,g
'Terug van de wandeling #weerwatwijzergeworden',n,g
'Film was leuk, Martijn vindt lang stilzitten toch zoooo moeilijk. Haha hij vroeg om de 10 minuten hoe lang de film nog duurde. #weerthuis',n,g
'18:15u - Het weer in Andijk Licht bewolkt Temp.: 9°C Gevoel: 8°C Vocht: 83\% Luchtdruk: 1032mBar Wind: 5Bft Richting: ZW Regen: 0.00mm #weer',y,b
'film af #weerreactie.',n,g
'wil nog niet slapen #weerheelleuk #top2000',n,b
'@100xlois gelukkig wel he Lois !! #weereenjaardekastin!',n,g
'Grijs en bewolkt, maar droog. Het lijkt wel gisteren ! Briesje uit ZW, balkontemperatuur 10 graden... #weerbericht #soestdijk',y,n
'Voeg opstaan. ga zo een boom omhakken bij mijn oma. #weereenswatanders',n,g
'Wil ik reageren op een woning...doen m\'n inloggegevens het niet meer!!! Aaaaah #frustratie !! K**.....Minder prettig!! #weereendagwachten',n,n
'Met de kids naar \'Dolfje weerwolfje\' . Deze vakantie 4x naar de bios! #wegdromen #weerkindzijn http://t.co/cCYh04NN',n,b
'Het was een goede Kerst, heerlijk verwend! nu de boel opruimen.. en werken..#weeraandebak',n,n
'kerst is voor bij op naar het nieuwe jaar en m\'n verjaardag #weereenjaarouder',n,b
'Toch pees en slijmvlies ontsteking #weer spuit gehad😠',y,g
'Nog een #volger dan zijn het er op de kop af 300 .... De Groeten uit #weerselo',n,n
'Vals brandalarm. #weer parkeergarage #Dordrecht http://t.co/c9Ir49tp',y,g
'Echt ik HAAT bussen! Zit een uur in de bus en net op de laatste 5 min kots ik de hele bus onder.. #echtikweer #stinkhelemaal #weeropmaken..',n,n
'Boodschappen doen zonder geld is echt niet handig #weernaarhuis #zoweeerrrrgaan #baal (@ Winkelcentrum Parade) http://t.co/qC28ks4A',n,n
'@gerdien1976 heb toch 3 week tropische temp genoten :-) #weerkunjeookopzoeken #zomer #winter #NLiskikkerland  #klaagniethoor',n,g
'@margjuu ik toch ook -,- #weerbeetjejammerdit',n,g
'Trusten allemaal, morgen weer een dag. #watdezeookmagbrengen. In elkgeval #weerwolfje voor kind(je) twee!',n,b
'Aah ik moet er uit! #WeerTeLaat',n,b
'Donker en grijs, meer wind dan gisteren, flinke bries uit ZW. Geen neerslag. Balkontemperatuur 8 graden... #weerbericht #soestdijk',y,n
'Antibiotica na een wortelkanaal behandeling. #weerpijnvrij (@ FLeiR Kring-apotheek Parkwijk) http://t.co/aG1Lfp6x',n,g
#weerliggen,n,g
'@SylviadeCroon ja maar dan moet je hem niet uitzetten en weer even omdraaien.... #weereenuurlater',n,b
'Wtf! Zwaar overjarige vrouw van 50+ laat ff dr nieuwe tepelpiercing zien aan vriendin! #viezerimpeligetieten #weermisselijk',n,g
'Inmiddels bij #rtvrijnmond om het #weer voor te bereiden. Net de stad door gesjeest voor het #top2000 #magazine, helaas nergens te krijgen.',y,b
'Ff een drankje en dan gaan we naar #dolfje #weerwolfje #wroeaaaah (@ Café Diner Vlaanderen) http://t.co/IW0Cn9ga',n,b
'#weer  temp. 6.4 #windchill 4.2 #wind zw matig #neerslag geen vooruitz.vr./sa. regen #hagel natte #sneeuw bui(en) max.6 minium +3 tot-2',y,g
'klokhuis kijken #weernietwrm',n,g
'nu naar feestje (en afscheid van snackbar DE WOUDPOORT ! ) van oom #weernaardokkum',n,n
'volgens v.d berg #weerman #meteoconsult kunnen we met de #jaarwisseling #vuurwerk afsteken in zomerkleding #zwembroek etc.geef mij maar KNMI',n,b
'“@DJRobPrincen: verdammt ich lieb dich #WeertFM�? Jeaah',n,g
'@ casa Adebowale... Trying to sleep...but doesn\'t work #weerteveelsuikergehad http://t.co/MRu39Vt3',n,g
'Terug van stad\n#weertelaatgeworden',n,g
't is weer vroeg en redelijk stormachtig #weer',y,b
'Zonsopkomst met oranje-roze wolken. Briesje uit W., droog, balkontemperatuur 8 graden... #weerbericht #soestdijk',y,n
'Volop bezig met de voorbereiding voor een avondje #weerwolven. We spelen met 16 mensen en ze blijven nog eten ook #gezelligheid',n,b
'8 dagen Noord-Ierland(gemiddeld 1000mm neerslag p/j !) bijna geen neerslag, 13 graden. Terug in Nederland, nat en windering #bah #weerzeiken',y,n
'Regen op Soestdijk... #weerbericht',n,g
'@muur en gelukt? #weerstand',n,n
'“@xmaudeidhof: zo keet met schatjes @jelinaa0546 @xlauriegervink @xkayleighsauer @femkexo @Michellee0546  ! &lt;33 #weersslo�?weerselo!!!!bier!!',n,g
'#2012 Beginnen we het nieuwe jaar met een record? Zondag 12 graden! #weersvoorspelling',y,b
'\"@danielaaa556: nu weer weggaan met @royykaas naar buiten. roy heeft nieuwe mobiel gekocht :D #weer weg\" was gezellig :D',y,b
'@UPC bedankt dat jullie je afspraak niet  nakomen vanavond! Voor niets zitten wachten. #weerspijtdatikvoorUPChebgekozen',n,g
'De spanning loopt hoog op. Altijd leuk #weerwolven de weerwolven winnen niet gna gna',n,n
'@chloe871999 ik weet het #weergoed?',n,n
'@gerwine @20uphoogeveen Wat! Ik fiets m achterstevoren! #weerngrotebek',n,b
'Na het avondje #weerwolven  besluit de jeugd om nog even een filmnacht te houden. Ziet er gezellig uit. Wij gaan slapen. #teoudhiervoor',n,g
'Klote #weer',y,g
'Heldere hemel met hier en daar een wolkje. Droog, briesje uit NW, balkontemperatuur 6 graden... #weerbericht #soestdijk',y,n
'Ik begin toch echt te denken dat ik #buikgriep ofzo heb.... Bah.. #weeropdewc',n,g
'UPC monteur ontdekt na 14 dagen wat ik al gelijk riep: mediabox is defect! Gelijk vervangen. #datalnatweewekenenvijfkeerbellen #weerbeeld',n,n
'Home sweet home #weerthuis',n,g
'*slaapt* #weereensveelstelaat',n,g
'Bewolkt en regen, zwak briesje uit Z. Balkontemperatuur 6 graden, net goed voor de bubbelwijn... #weerbericht #soestdijk',y,n
'Nieuwegein. Het #weer van zaterdag 31 december 2011 om 10.26: Winstil, Mistig, 1007 Mb, 6 graden. http://t.co/zO7WuLaR',y,g
'Nu pauzee. Ik begin een fobie voor rotondes te krijgen. #weeraangereden',n,b
'Ziezo. Ik ben er klaar voor. #weerdroogachterdeoren',n,b
'@wiekevdheide Is er al fik #weerdingecity ???',n,g
'Gelukkig & gezond 2012! #ziezo #weeraandechampagne #fb',n,g
'Weer niet gewonnen!!!#staatsloterij #weerverkeerdlot',n,g
'#2012 goed begonnen... Kunnen vanmiddag gewoon #weer #gezellig',y,g
'Grijs en bewolkt, maar ook droog en niet koud. Briesje uit ZW, balkontemperatuur 12 graden... #weerbericht #soestdijk',y,n
'Zonde dat ik nu pas wakker ben. #weergeennieuwjaarsduik',n,g
'Naar #Weert',n,g
'3e was aan t draaien, weer gewoon gekookt #weerffwennen na een weekje full service',n,b
'Wat een kut weer zo aan het begin van 2012 #weer',y,b
'Jezus wat een #weer',y,g
'Ooit gehoord van schele tieten whahaha #weerveelgeleerdvandaag',n,g
'We kunnen nu al zeggen, het is de eerste zondag van het jaar. #weerrecord',n,n
'#goedemorgen #wakker #Nederland de #beste #wensen voor #2012 en we #gaan er #weer #tegenaan',y,b
'2012 begint fantastisch! #weerlastvanmerug #goedevoornemen',n,g
'Grijs, bewolkt, maar droog. Zwak briesje uit ZW, balkontemperatuur 9 graden... #weerbericht #soestdijk',y,n
'Onstuimig, nat en zacht..., daar hou ik wel van :) #weerplaza',n,g
'@edaldus Als het regent in de stad dan worden alle daken nat. #weerspreuken tweet',n,b
'@edaldus Als je uien in je eten vindt, is er kans op harde wind #weerspreuken tweet',n,n
'Morgen stormweer!! Windkracht 9 in groningen er word een mini cycloon verwacht! #weerbericht#vanDari',n,g
